"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","checkUrl","PlaywrightPageObjectModel","Thu Sep 04 16:02:35 EDT 2025","passed","Thu Sep 04 16:02:35 EDT 2025","TestPackge.TestHome","HomeTest","TestPackge.TestHome","checkUrl"
"","1513","checkTitle","PlaywrightPageObjectModel","Thu Sep 04 16:02:41 EDT 2025","passed","Thu Sep 04 16:02:42 EDT 2025","TestPackge.CustomerLoginTest","CustLoginTest","TestPackge.CustomerLoginTest","checkTitle"
"","2","testSetup","Default suite","Thu Sep 04 13:05:05 EDT 2025","broken","Thu Sep 04 13:05:05 EDT 2025","TestPackge.CustomerLoginTest","Default test","TestPackge.CustomerLoginTest","testSetup"
"","25","testHomePageTitle","Default suite","Wed Sep 03 11:25:32 EDT 2025","passed","Wed Sep 03 11:25:32 EDT 2025","TestClass.TestHome","Default test","TestClass.TestHome","testHomePageTitle"
"","1","testSetup","Default suite","Wed Sep 03 10:52:44 EDT 2025","broken","Wed Sep 03 10:52:44 EDT 2025","TestClass.TestHome","Default test","TestClass.TestHome","testSetup"
"","16","regPageNavigate","Default suite","Thu Sep 04 13:30:13 EDT 2025","passed","Thu Sep 04 13:30:13 EDT 2025","TestPackge.RegTest","Default test","TestPackge.RegTest","regPageNavigate"
"","28","testHomePageTitle","PlaywrightPageObjectModel","Thu Sep 04 16:02:35 EDT 2025","passed","Thu Sep 04 16:02:35 EDT 2025","TestPackge.TestHome","HomeTest","TestPackge.TestHome","testHomePageTitle"
"","2","checkUrl","Default suite","Wed Sep 03 11:25:32 EDT 2025","passed","Wed Sep 03 11:25:32 EDT 2025","TestClass.TestHome","Default test","TestClass.TestHome","checkUrl"
"","2425","accountDetails","PlaywrightPageObjectModel","Thu Sep 04 16:02:48 EDT 2025","passed","Thu Sep 04 16:02:50 EDT 2025","TestPackge.AcctPageTesting","AcctPageTest","TestPackge.AcctPageTesting","accountDetails"
"","358","fillTheForm","Default suite","Thu Sep 04 15:45:21 EDT 2025","passed","Thu Sep 04 15:45:21 EDT 2025","TestPackge.TestHome","Default test","TestPackge.TestHome","fillTheForm"
"","2374","regFormDetails","PlaywrightPageObjectModel","Thu Sep 04 16:02:57 EDT 2025","passed","Thu Sep 04 16:03:00 EDT 2025","TestPackge.RegFormTest","RegForm","TestPackge.RegFormTest","regFormDetails"
"","7","welcomeMsg","PlaywrightPageObjectModel","Thu Sep 04 16:02:52 EDT 2025","passed","Thu Sep 04 16:02:52 EDT 2025","TestPackge.AcctPageTesting","AcctPageTest","TestPackge.AcctPageTesting","welcomeMsg"
"","2007","clickRegForm","Default suite","Thu Sep 04 15:45:19 EDT 2025","passed","Thu Sep 04 15:45:21 EDT 2025","TestPackge.TestHome","Default test","TestPackge.TestHome","clickRegForm"
"","2563","accountDetails","Default suite","Thu Sep 04 01:57:49 EDT 2025","passed","Thu Sep 04 01:57:51 EDT 2025","TestPackge.CustomerLoginTest","Default test","TestPackge.CustomerLoginTest","accountDetails"
"","1539","clickRegForm","Default suite","Wed Sep 03 11:25:32 EDT 2025","passed","Wed Sep 03 11:25:34 EDT 2025","TestClass.TestHome","Default test","TestClass.TestHome","clickRegForm"
"","1972","depositTest","PlaywrightPageObjectModel","Thu Sep 04 16:02:50 EDT 2025","passed","Thu Sep 04 16:02:52 EDT 2025","TestPackge.AcctPageTesting","AcctPageTest","TestPackge.AcctPageTesting","depositTest"
"","939","checkCustomer","PlaywrightPageObjectModel","Thu Sep 04 16:02:42 EDT 2025","passed","Thu Sep 04 16:02:43 EDT 2025","TestPackge.CustomerLoginTest","CustLoginTest","TestPackge.CustomerLoginTest","checkCustomer"
